dependency_id,source_id,target_id,dependency_type,owning_module,description,failure_if_missing,journey_ids,status,last_reviewed_on
SALES-P2-DEP-028,F059,F060,DOMAIN_SEQUENCE,Sales,F060 relies on governed output or context from F059.,"Without the F059 contract, F060 may become inconsistent, duplicate effects or lose reconciliation.",,SPECIFIED,2026-08-30
SALES-P2-DEP-029,F060,F061,DOMAIN_SEQUENCE,Sales,F061 relies on governed output or context from F060.,"Without the F060 contract, F061 may become inconsistent, duplicate effects or lose reconciliation.",,SPECIFIED,2026-08-30
SALES-P2-DEP-030,F061,F062,DOMAIN_SEQUENCE,Sales,F062 relies on governed output or context from F061.,"Without the F061 contract, F062 may become inconsistent, duplicate effects or lose reconciliation.",,SPECIFIED,2026-08-30
SALES-P2-DEP-031,F023,F036,CROSS_MODULE,Sales,F036 relies on governed output or context from F023.,"Without the F023 contract, F036 may become inconsistent, duplicate effects or lose reconciliation.",SALES-JRN-001,SPECIFIED,2026-08-30
SALES-P2-DEP-032,F046,F112,CROSS_MODULE,Sales,F112 relies on governed output or context from F046.,"Without the F046 contract, F112 may become inconsistent, duplicate effects or lose reconciliation.",SALES-JRN-003,SPECIFIED,2026-08-30
SALES-P2-DEP-033,F049,F137,CROSS_MODULE,Sales,F137 relies on governed output or context from F049.,"Without the F049 contract, F137 may become inconsistent, duplicate effects or lose reconciliation.",SALES-JRN-003,SPECIFIED,2026-08-30
SALES-P2-DEP-034,F050,F463,CROSS_MODULE,Sales,F463 relies on governed output or context from F050.,"Without the F050 contract, F463 may become inconsistent, duplicate effects or lose reconciliation.",SALES-JRN-004,SPECIFIED,2026-08-30
SALES-P2-DEP-035,F055,F464,CROSS_MODULE,Sales,F464 relies on governed output or context from F055.,"Without the F055 contract, F464 may become inconsistent, duplicate effects or lose reconciliation.",SALES-JRN-005,SPECIFIED,2026-08-30
PROC-P3-DEP-001,F063,F064,DOMAIN_SEQUENCE,Procurement,F064 relies on governed output or context from F063.,"Without the F063 contract, F064 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-002,F064,F065,DOMAIN_SEQUENCE,Procurement,F065 relies on governed output or context from F064.,"Without the F064 contract, F065 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-003,F063,F066,DOMAIN_SEQUENCE,Procurement,F066 relies on governed output or context from F063.,"Without the F063 contract, F066 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-004,F066,F067,DOMAIN_SEQUENCE,Procurement,F067 relies on governed output or context from F066.,"Without the F066 contract, F067 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-005,F067,F068,DOMAIN_SEQUENCE,Procurement,F068 relies on governed output or context from F067.,"Without the F067 contract, F068 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-006,F067,F069,DOMAIN_SEQUENCE,Procurement,F069 relies on governed output or context from F067.,"Without the F067 contract, F069 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-007,F069,F070,DOMAIN_SEQUENCE,Procurement,F070 relies on governed output or context from F069.,"Without the F069 contract, F070 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-008,F070,F071,DOMAIN_SEQUENCE,Procurement,F071 relies on governed output or context from F070.,"Without the F070 contract, F071 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-009,F071,F072,DOMAIN_SEQUENCE,Procurement,F072 relies on governed output or context from F071.,"Without the F071 contract, F072 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-010,F072,F073,DOMAIN_SEQUENCE,Procurement,F073 relies on governed output or context from F072.,"Without the F072 contract, F073 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-011,F073,F074,DOMAIN_SEQUENCE,Procurement,F074 relies on governed output or context from F073.,"Without the F073 contract, F074 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-012,F074,F075,DOMAIN_SEQUENCE,Procurement,F075 relies on governed output or context from F074.,"Without the F074 contract, F075 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-013,F075,F076,DOMAIN_SEQUENCE,Procurement,F076 relies on governed output or context from F075.,"Without the F075 contract, F076 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-014,F078,F077,DOMAIN_SEQUENCE,Procurement,F077 relies on governed output or context from F078.,"Without the F078 contract, F077 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-015,F077,F074,DOMAIN_SEQUENCE,Procurement,F074 relies on governed output or context from F077.,"Without the F077 contract, F074 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-016,F079,F074,DOMAIN_SEQUENCE,Procurement,F074 relies on governed output or context from F079.,"Without the F079 contract, F074 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-017,F074,F080,DOMAIN_SEQUENCE,Procurement,F080 relies on governed output or context from F074.,"Without the F074 contract, F080 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-018,F080,F081,DOMAIN_SEQUENCE,Procurement,F081 relies on governed output or context from F080.,"Without the F080 contract, F081 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-019,F080,F082,DOMAIN_SEQUENCE,Procurement,F082 relies on governed output or context from F080.,"Without the F080 contract, F082 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-020,F082,F083,DOMAIN_SEQUENCE,Procurement,F083 relies on governed output or context from F082.,"Without the F082 contract, F083 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-021,F074,F084,DOMAIN_SEQUENCE,Procurement,F084 relies on governed output or context from F074.,"Without the F074 contract, F084 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-022,F084,F085,DOMAIN_SEQUENCE,Procurement,F085 relies on governed output or context from F084.,"Without the F084 contract, F085 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-023,F080,F086,DOMAIN_SEQUENCE,Procurement,F086 relies on governed output or context from F080.,"Without the F080 contract, F086 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-024,F084,F086,DOMAIN_SEQUENCE,Procurement,F086 relies on governed output or context from F084.,"Without the F084 contract, F086 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-025,F080,F087,DOMAIN_SEQUENCE,Procurement,F087 relies on governed output or context from F080.,"Without the F080 contract, F087 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-026,F084,F087,DOMAIN_SEQUENCE,Procurement,F087 relies on governed output or context from F084.,"Without the F084 contract, F087 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-027,F088,F084,DOMAIN_SEQUENCE,Procurement,F084 relies on governed output or context from F088.,"Without the F088 contract, F084 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-028,F063,F089,DOMAIN_SEQUENCE,Procurement,F089 relies on governed output or context from F063.,"Without the F063 contract, F089 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-029,F089,F090,DOMAIN_SEQUENCE,Procurement,F090 relies on governed output or context from F089.,"Without the F089 contract, F090 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-030,F063,F091,DOMAIN_SEQUENCE,Procurement,F091 relies on governed output or context from F063.,"Without the F063 contract, F091 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-031,F089,F092,DOMAIN_SEQUENCE,Procurement,F092 relies on governed output or context from F089.,"Without the F089 contract, F092 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-032,F074,F093,DOMAIN_SEQUENCE,Procurement,F093 relies on governed output or context from F074.,"Without the F074 contract, F093 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-033,F089,F096,DOMAIN_SEQUENCE,Procurement,F096 relies on governed output or context from F089.,"Without the F089 contract, F096 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-034,F092,F096,DOMAIN_SEQUENCE,Procurement,F096 relies on governed output or context from F092.,"Without the F092 contract, F096 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-035,F093,F096,DOMAIN_SEQUENCE,Procurement,F096 relies on governed output or context from F093.,"Without the F093 contract, F096 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-036,F094,F074,DOMAIN_SEQUENCE,Procurement,F074 relies on governed output or context from F094.,"Without the F094 contract, F074 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-037,F095,F074,DOMAIN_SEQUENCE,Procurement,F074 relies on governed output or context from F095.,"Without the F095 contract, F074 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-038,F122,F094,CROSS_MODULE,Procurement,F094 relies on governed output or context from F122.,"Without the F122 contract, F094 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",PROC-JRN-005,SPECIFIED,2026-08-30
PROC-P3-DEP-039,F125,F094,CROSS_MODULE,Procurement,F094 relies on governed output or context from F125.,"Without the F125 contract, F094 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",PROC-JRN-005,SPECIFIED,2026-08-30
PROC-P3-DEP-040,F080,F108,CROSS_MODULE,Procurement,F108 relies on governed output or context from F080.,"Without the F080 contract, F108 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",PROC-JRN-003,SPECIFIED,2026-08-30
PROC-P3-DEP-041,F083,F138,CROSS_MODULE,Procurement,F138 relies on governed output or context from F083.,"Without the F083 contract, F138 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",PROC-JRN-003,SPECIFIED,2026-08-30
PROC-P3-DEP-042,F082,F312,CROSS_MODULE,Procurement,F312 relies on governed output or context from F082.,"Without the F082 contract, F312 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",PROC-JRN-007,SPECIFIED,2026-08-30
PROC-P3-DEP-043,F082,F322,CROSS_MODULE,Procurement,F322 relies on governed output or context from F082.,"Without the F082 contract, F322 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",PROC-JRN-007,SPECIFIED,2026-08-30
PROC-P3-DEP-044,F084,F471,CROSS_MODULE,Procurement,F471 relies on governed output or context from F084.,"Without the F084 contract, F471 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",PROC-JRN-004,SPECIFIED,2026-08-30
PROC-P3-DEP-045,F086,F471,CROSS_MODULE,Procurement,F471 relies on governed output or context from F086.,"Without the F086 contract, F471 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",PROC-JRN-004,SPECIFIED,2026-08-30
PROC-P3-DEP-046,F087,F131,CROSS_MODULE,Procurement,F131 relies on governed output or context from F087.,"Without the F087 contract, F131 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",PROC-JRN-004,SPECIFIED,2026-08-30
PROC-P3-DEP-047,F180,F095,CROSS_MODULE,Procurement,F095 relies on governed output or context from F180.,"Without the F180 contract, F095 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",PROC-JRN-006,SPECIFIED,2026-08-30
PROC-P3-DEP-048,F056,F074,CROSS_MODULE,Procurement,F074 relies on governed output or context from F056.,"Without the F056 contract, F074 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
PROC-P3-DEP-049,F213,F067,CROSS_MODULE,Procurement,F067 relies on governed output or context from F213.,"Without the F213 contract, F067 may become inconsistent, duplicate effects, violate controls or lose reconciliation.",,SPECIFIED,2026-08-30
STOCK-P4-DEP-001,F097,F099,REQUIRES,Stock / Inventory,F097 requires F099 under the Stock Pass 4 specification.,"Inventory quantity, availability, valuation, traceability or downstream reconciliation becomes incomplete or unsafe.",,APPROVED,2026-08-30
STOCK-P4-DEP-002,F097,F100,REQUIRES,Stock / Inventory,F097 requires F100 under the Stock Pass 4 specification.,"Inventory quantity, availability, valuation, traceability or downstream reconciliation becomes incomplete or unsafe.",,APPROVED,2026-08-30
STOCK-P4-DEP-003,F097,F101,REQUIRES,Stock / Inventory,F097 requires F101 under the Stock Pass 4 specification.,"Inventory quantity, availability, valuation, traceability or downstream reconciliation becomes incomplete or unsafe.",,APPROVED,2026-08-30
STOCK-P4-DEP-004,F101,F102,REQUIRES,Stock / Inventory,F101 requires F102 under the Stock Pass 4 specification.,"Inventory quantity, availability, valuation, traceability or downstream reconciliation becomes incomplete or unsafe.",,APPROVED,2026-08-30
STOCK-P4-DEP-005,F103,F104,REQUIRES,Stock / Inventory,F103 requires F104 under the Stock Pass 4 specification.,"Inventory quantity, availability, valuation, traceability or downstream reconciliation becomes incomplete or unsafe.",,APPROVED,2026-08-30
STOCK-P4-DEP-006,F104,F105,REQUIRES,Stock / Inventory,F104 requires F105 under the Stock Pass 4 specification.,"Inventory quantity, availability, valuation, traceability or downstream reconciliation becomes incomplete or unsafe.",,APPROVED,2026-08-30
STOCK-P4-DEP-007,F097,F106,REQUIRES,Stock / Inventory,F097 requires F106 under the Stock Pass 4 specification.,"Inventory quantity, availability, valuation, traceability or downstream reconciliation becomes incomplete or unsafe.",,APPROVED,2026-08-30
