capability_id,module,name,feature_ids,personas,business_outcomes,working_status,readiness_gate,benchmark_evidence_ids,dependency_ids,journey_ids,owner_notes,last_reviewed_on
SALES-CAP-003,Sales,Sales order governance,F042;F043;F044,SALES_REP;SALES_OPS;SALES_MANAGER;APPROVER,Confirmed commitments with guarded amendments and immutable history,SPECIFICATION_READY,SPECIFICATION_READY,SALES-P2-BE-023;SALES-P2-BE-025;SALES-P2-BE-027,,,Sales Pass 2 enterprise specification,2026-08-30
SALES-CAP-004,Sales,Availability and fulfilment coordination,F045;F046;F047;F048;F049,SALES_REP;SALES_OPS;WAREHOUSE;SALES_MANAGER,"Explainable promise, reservation, partial fulfilment, backorder and delivery status",SPECIFICATION_READY,SPECIFICATION_READY,SALES-P2-BE-029;SALES-P2-BE-031;SALES-P2-BE-033;SALES-P2-BE-035;SALES-P2-BE-037,,,Sales Pass 2 enterprise specification,2026-08-30
SALES-CAP-005,Sales,"Billing, advances, credit and returns",F050;F051;F052;F053;F054;F055;F058,SALES_OPS;FINANCE;SALES_MANAGER;CUSTOMER_SERVICE,"Idempotent billing requests, credit control and reversible corrections",SPECIFICATION_READY,SPECIFICATION_READY,SALES-P2-BE-039;SALES-P2-BE-041;SALES-P2-BE-043;SALES-P2-BE-045;SALES-P2-BE-047;SALES-P2-BE-049;SALES-P2-BE-055,,,Sales Pass 2 enterprise specification,2026-08-30
SALES-CAP-006,Sales,Alternative fulfilment and compensation,F056;F057,SALES_OPS;PROCUREMENT;SALES_MANAGER;FINANCE,Governed drop-shipping and explainable commission accruals,SPECIFICATION_READY,SPECIFICATION_READY,SALES-P2-BE-051;SALES-P2-BE-053,,,Sales Pass 2 enterprise specification,2026-08-30
SALES-CAP-007,Sales,"Order visibility, analytics and profitability",F059;F060;F061;F062,SALES_REP;SALES_MANAGER;EXECUTIVE;FINANCE,"Permission-safe status, analytics, margin and order-to-cash reconciliation",SPECIFICATION_READY,SPECIFICATION_READY,SALES-P2-BE-057;SALES-P2-BE-059;SALES-P2-BE-061;SALES-P2-BE-063,,,Sales Pass 2 enterprise specification,2026-08-30
PROC-CAP-001,Procurement,"Supplier identity, onboarding and segmentation",F063;F064;F065;F066,REQUESTER;BUYER;PROCUREMENT_MANAGER;SUPPLIER_ADMIN;COMPLIANCE,"Trusted spend-authorized supplier profiles, sites, onboarding evidence and classification",SPECIFICATION_READY,SPECIFICATION_READY,PROC-P3-BE-001;PROC-P3-BE-003;PROC-P3-BE-005;PROC-P3-BE-007,,,Procurement Pass 3 enterprise specification,2026-08-30
PROC-CAP-002,Procurement,Requisition and spend approval,F067;F068,REQUESTER;MANAGER;BUYER;APPROVER;FINANCE_CONTROL,"Complete demand capture with deterministic policy, budget/risk context and maker-checker approval",SPECIFICATION_READY,SPECIFICATION_READY,PROC-P3-BE-009;PROC-P3-BE-011,,,Procurement Pass 3 enterprise specification,2026-08-30
PROC-CAP-003,Procurement,Competitive sourcing and award,F069;F070;F071;F072;F073,BUYER;CATEGORY_MANAGER;EVALUATOR;APPROVER;SUPPLIER,"Fair, auditable RFQ competition, normalized comparison and controlled supplier award",SPECIFICATION_READY,SPECIFICATION_READY,PROC-P3-BE-013;PROC-P3-BE-015;PROC-P3-BE-017;PROC-P3-BE-019;PROC-P3-BE-021,,,Procurement Pass 3 enterprise specification,2026-08-30
PROC-CAP-004,Procurement,"Purchase order, agreement and supplier pricing governance",F074;F075;F076;F077;F078;F079,BUYER;PROCUREMENT_MANAGER;APPROVER;SUPPLIER_ADMIN,"Versioned purchasing commitments with approval, contracts/releases and reproducible supplier pricing",SPECIFICATION_READY,SPECIFICATION_READY,PROC-P3-BE-023;PROC-P3-BE-025;PROC-P3-BE-027;PROC-P3-BE-029;PROC-P3-BE-031;PROC-P3-BE-033,,,Procurement Pass 3 enterprise specification,2026-08-30
PROC-CAP-005,Procurement,"Receiving, rejection and supplier returns",F080;F081;F082;F083,RECEIVER;WAREHOUSE;QUALITY;BUYER;PROCUREMENT_MANAGER,"Quantity-accurate receipts, exception disposition and reversible supplier return flow",SPECIFICATION_READY,SPECIFICATION_READY,PROC-P3-BE-035;PROC-P3-BE-037;PROC-P3-BE-039;PROC-P3-BE-041,,,Procurement Pass 3 enterprise specification,2026-08-30
PROC-CAP-006,Procurement,"Supplier invoice, matching and landed-cost control",F084;F085;F086;F087;F088,AP_CLERK;BUYER;MATCHING_ANALYST;FINANCE_APPROVER;INVENTORY_ACCOUNTANT,"Duplicate-safe invoice intake, deterministic 2/3-way matching, terms and landed-cost reconciliation",SPECIFICATION_READY,SPECIFICATION_READY,PROC-P3-BE-043;PROC-P3-BE-045;PROC-P3-BE-047;PROC-P3-BE-049;PROC-P3-BE-051,,,Procurement Pass 3 enterprise specification,2026-08-30
PROC-CAP-007,Procurement,Supplier performance and procurement intelligence,F089;F090;F091;F092;F093;F096,BUYER;CATEGORY_MANAGER;PROCUREMENT_MANAGER;EXECUTIVE;FINANCE,"Explainable supplier scorecards, lead-time/spend/history analytics and actionable procurement cockpit",SPECIFICATION_READY,SPECIFICATION_READY,PROC-P3-BE-053;PROC-P3-BE-055;PROC-P3-BE-057;PROC-P3-BE-059;PROC-P3-BE-061;PROC-P3-BE-067,,,Procurement Pass 3 enterprise specification,2026-08-30
PROC-CAP-008,Procurement,Replenishment and subcontract purchasing orchestration,F094;F095,BUYER;PLANNER;WAREHOUSE;MANUFACTURING_PLANNER;PROCUREMENT_MANAGER,Idempotent demand-driven buying and subcontract purchase lineage without cross-module private writes,SPECIFICATION_READY,SPECIFICATION_READY,PROC-P3-BE-063;PROC-P3-BE-065,,,Procurement Pass 3 enterprise specification,2026-08-30
STOCK-CAP-001,Stock / Inventory,"Item identity, variants and UOM",F097;F098;F099;F100;F101;F102,INVENTORY_ADMIN;WAREHOUSE_MANAGER;BUYER;SALES_OPS,One inventory identity and precision-safe UOM model across all stock movements,SPECIFICATION_READY,SPECIFICATION_READY,STOCK-P4-BE-001;STOCK-P4-BE-003;STOCK-P4-BE-005;STOCK-P4-BE-007;STOCK-P4-BE-009;STOCK-P4-BE-011,,,Stock Pass 4 enterprise specification,2026-08-30
STOCK-CAP-002,Stock / Inventory,Warehouse network and location model,F103;F104;F105,WAREHOUSE_MANAGER;WAREHOUSE_OPERATOR;INVENTORY_CONTROLLER,Governed multi-warehouse/location topology with company-safe inventory visibility,SPECIFICATION_READY,SPECIFICATION_READY,STOCK-P4-BE-013;STOCK-P4-BE-015;STOCK-P4-BE-017,,,Stock Pass 4 enterprise specification,2026-08-30
STOCK-CAP-003,Stock / Inventory,"Perpetual ledger, availability and reservation",F106;F107;F108;F109;F110;F111;F112;F113;F114,WAREHOUSE_OPERATOR;INVENTORY_CONTROLLER;SALES_OPS;PLANNER,"Race-safe stock truth, reservations and ATP from authoritative movements",SPECIFICATION_READY,SPECIFICATION_READY,STOCK-P4-BE-019;STOCK-P4-BE-021;STOCK-P4-BE-023;STOCK-P4-BE-025;STOCK-P4-BE-027;STOCK-P4-BE-029;STOCK-P4-BE-031;STOCK-P4-BE-033;STOCK-P4-BE-035,,,Stock Pass 4 enterprise specification,2026-08-30
STOCK-CAP-004,Stock / Inventory,"Traceability, expiry and barcode execution",F115;F116;F117;F118;F119,WAREHOUSE_OPERATOR;QUALITY;TRACEABILITY_ANALYST,End-to-end lot/serial/expiry identity with scanner-safe execution,SPECIFICATION_READY,SPECIFICATION_READY,STOCK-P4-BE-037;STOCK-P4-BE-039;STOCK-P4-BE-041;STOCK-P4-BE-043;STOCK-P4-BE-045,,,Stock Pass 4 enterprise specification,2026-08-30
STOCK-CAP-005,Stock / Inventory,"Counting, replenishment and negative-stock policy",F120;F121;F122;F123;F124;F125;F126,INVENTORY_CONTROLLER;PLANNER;WAREHOUSE_MANAGER,Reconciled counts and policy-driven replenishment without silent negative stock,SPECIFICATION_READY,SPECIFICATION_READY,STOCK-P4-BE-047;STOCK-P4-BE-049;STOCK-P4-BE-051;STOCK-P4-BE-053;STOCK-P4-BE-055;STOCK-P4-BE-057;STOCK-P4-BE-059,,,Stock Pass 4 enterprise specification,2026-08-30
STOCK-CAP-006,Stock / Inventory,Inventory costing and valuation,F127;F128;F129;F130;F131,INVENTORY_ACCOUNTANT;FINANCE;COST_ACCOUNTANT,Deterministic valuation layers and reconciled inventory asset value,SPECIFICATION_READY,SPECIFICATION_READY,STOCK-P4-BE-061;STOCK-P4-BE-063;STOCK-P4-BE-065;STOCK-P4-BE-067;STOCK-P4-BE-069,,,Stock Pass 4 enterprise specification,2026-08-30
STOCK-CAP-007,Stock / Inventory,Inventory intelligence and reporting,F132;F133;F134;F143;F144,INVENTORY_CONTROLLER;MANAGER;FINANCE;EXECUTIVE,Explainable aging/slow/dead-stock intelligence and reconciled operational reporting,SPECIFICATION_READY,SPECIFICATION_READY,STOCK-P4-BE-071;STOCK-P4-BE-073;STOCK-P4-BE-075;STOCK-P4-BE-093;STOCK-P4-BE-095,,,Stock Pass 4 enterprise specification,2026-08-30
STOCK-CAP-008,Stock / Inventory,Warehouse fulfilment and returns,F135;F136;F137;F138,PICKER;PACKER;SHIPPER;SALES_OPS;RETURNS_OPERATOR,Reservation-linked pick-pack-ship and controlled return receipt,SPECIFICATION_READY,SPECIFICATION_READY,STOCK-P4-BE-077;STOCK-P4-BE-079;STOCK-P4-BE-081;STOCK-P4-BE-083,,,Stock Pass 4 enterprise specification,2026-08-30
STOCK-CAP-009,Stock / Inventory,"Inventory exception, quality hold and genealogy",F139;F140;F141;F142,QUALITY;WAREHOUSE_MANAGER;TRACEABILITY_ANALYST;AUDITOR,Authoritative holds/damage segregation plus complete movement genealogy/history,SPECIFICATION_READY,SPECIFICATION_READY,STOCK-P4-BE-085;STOCK-P4-BE-087;STOCK-P4-BE-089;STOCK-P4-BE-091,,,Stock Pass 4 enterprise specification,2026-08-30
MFG-CAP-001,Manufacturing,Product structures and engineering definition,F145;F146;F147;F148;F149,MANUFACTURING_ENGINEER;PLANNER;COST_ACCOUNTANT,"Approved, effectivity-safe and cycle-free product structures with deterministic alternate/version selection",SPECIFICATION_READY,SPECIFICATION_READY,MFG-P5-BE-001;MFG-P5-BE-003;MFG-P5-BE-005;MFG-P5-BE-007;MFG-P5-BE-009,,,Manufacturing Pass 5 enterprise specification,2026-08-30
MFG-CAP-002,Manufacturing,"Process, operations and production resources",F150;F151;F152;F153;F154,MANUFACTURING_ENGINEER;PRODUCTION_MANAGER;PLANNER,Executable routings and operation/resource calendars with explainable capacity,SPECIFICATION_READY,SPECIFICATION_READY,MFG-P5-BE-011;MFG-P5-BE-013;MFG-P5-BE-015;MFG-P5-BE-017;MFG-P5-BE-019,,,Manufacturing Pass 5 enterprise specification,2026-08-30
MFG-CAP-003,Manufacturing,"Production orders, shop-floor work and scheduling",F155;F156;F157;F168;F169;F170;F171,PRODUCTION_PLANNER;SUPERVISOR;OPERATOR,Governed order execution and capacity-aware shop-floor work with actual labor/machine/setup evidence,SPECIFICATION_READY,SPECIFICATION_READY,MFG-P5-BE-021;MFG-P5-BE-023;MFG-P5-BE-025;MFG-P5-BE-047;MFG-P5-BE-049;MFG-P5-BE-051;MFG-P5-BE-053,,,Manufacturing Pass 5 enterprise specification,2026-08-30
MFG-CAP-004,Manufacturing,"MRP, material control and WIP/output",F158;F159;F160;F161;F162;F163;F164;F165;F166;F167,PLANNER;MATERIAL_CONTROLLER;WAREHOUSE_OPERATOR;COST_ACCOUNTANT,"Explainable net requirements, race-safe material flow, WIP integrity and idempotent finished output",SPECIFICATION_READY,SPECIFICATION_READY,MFG-P5-BE-027;MFG-P5-BE-029;MFG-P5-BE-031;MFG-P5-BE-033;MFG-P5-BE-035;MFG-P5-BE-037;MFG-P5-BE-039;MFG-P5-BE-041;MFG-P5-BE-043;MFG-P5-BE-045,,,Manufacturing Pass 5 enterprise specification,2026-08-30
MFG-CAP-005,Manufacturing,"Loss, genealogy and production strategies",F172;F173;F174;F175;F176;F177;F178;F179;F180,SUPERVISOR;TRACEABILITY_ANALYST;PLANNER;SUBCONTRACT_BUYER,Traceable losses/outputs/rework/batches/serials plus governed MTS/MTO/subcontract production,SPECIFICATION_READY,SPECIFICATION_READY,MFG-P5-BE-055;MFG-P5-BE-057;MFG-P5-BE-059;MFG-P5-BE-061;MFG-P5-BE-063;MFG-P5-BE-065;MFG-P5-BE-067;MFG-P5-BE-069;MFG-P5-BE-071,,,Manufacturing Pass 5 enterprise specification,2026-08-30
MFG-CAP-006,Manufacturing,Production quality and hold control,F181;F182,QUALITY_INSPECTOR;QUALITY_MANAGER;PRODUCTION_MANAGER,Production inspection and non-bypassable hold/release control integrated with Stock and Quality,SPECIFICATION_READY,SPECIFICATION_READY,MFG-P5-BE-073;MFG-P5-BE-075,,,Manufacturing Pass 5 enterprise specification,2026-08-30
MFG-CAP-007,Manufacturing,Manufacturing costing and operational performance,F183;F184;F185;F186;F187;F188;F189,COST_ACCOUNTANT;PRODUCTION_MANAGER;MAINTENANCE_PLANNER,Reconciled manufacturing cost/variance/yield/efficiency plus downtime-maintenance capacity integrity,SPECIFICATION_READY,SPECIFICATION_READY,MFG-P5-BE-077;MFG-P5-BE-079;MFG-P5-BE-081;MFG-P5-BE-083;MFG-P5-BE-085;MFG-P5-BE-087;MFG-P5-BE-089,,,Manufacturing Pass 5 enterprise specification,2026-08-30
MFG-CAP-008,Manufacturing,Engineering change and production intelligence,F190;F191;F192,MANUFACTURING_ENGINEER;MANAGER;CONTROLLER;EXECUTIVE,Effectivity-safe engineering changes and reconciled production reporting/dashboard drilldown,SPECIFICATION_READY,SPECIFICATION_READY,MFG-P5-BE-091;MFG-P5-BE-093;MFG-P5-BE-095,,,Manufacturing Pass 5 enterprise specification,2026-08-30
PRJ-CAP-001,Projects,"Project setup, type, template and lifecycle",F193;F194;F195;F196;F204,PROJECT_MANAGER;PMO;SALES_OPERATIONS;FINANCE_CONTROLLER,Governed project identity/type/template instantiation and close/reopen lifecycle with commercial/internal boundaries,SPECIFICATION_READY,SPECIFICATION_READY,PRJ-P6-BE-001;PRJ-P6-BE-003;PRJ-P6-BE-005;PRJ-P6-BE-007;PRJ-P6-BE-023,,,Projects Pass 6 enterprise specification,2026-08-31
PRJ-CAP-002,Projects,"Work planning, WBS, schedule and progress",F197;F198;F199;F200;F201;F203;F205;F206;F207;F228,PROJECT_MANAGER;TEAM_MEMBER;PMO,"Cycle-safe work breakdown, milestones, tasks/dependencies and multi-view schedule/progress control",SPECIFICATION_READY,SPECIFICATION_READY,PRJ-P6-BE-009;PRJ-P6-BE-011;PRJ-P6-BE-013;PRJ-P6-BE-015;PRJ-P6-BE-017;PRJ-P6-BE-021;PRJ-P6-BE-025;PRJ-P6-BE-027;PRJ-P6-BE-029;PRJ-P6-BE-071,,,Projects Pass 6 enterprise specification,2026-08-31
PRJ-CAP-003,Projects,"Staffing, availability and time",F202;F208;F209;F210,RESOURCE_MANAGER;PROJECT_MANAGER;TEAM_MEMBER;HR_MANAGER,Time-phased staffing/availability plus governed timesheets with approval and rate provenance,SPECIFICATION_READY,SPECIFICATION_READY,PRJ-P6-BE-019;PRJ-P6-BE-031;PRJ-P6-BE-033;PRJ-P6-BE-035,,,Projects Pass 6 enterprise specification,2026-08-31
PRJ-CAP-004,Projects,"Project cost, materials, procurement and budgets",F211;F212;F213;F214;F215;F216;F223,PROJECT_CONTROLLER;PROJECT_MANAGER;PROCUREMENT_BUYER;STOCK_OPERATOR;FINANCE_CONTROLLER,"Reconciled project commitments/actuals, approved budget baselines/revisions and explainable cost variance",SPECIFICATION_READY,SPECIFICATION_READY,PRJ-P6-BE-037;PRJ-P6-BE-039;PRJ-P6-BE-041;PRJ-P6-BE-043;PRJ-P6-BE-045;PRJ-P6-BE-047;PRJ-P6-BE-061,,,Projects Pass 6 enterprise specification,2026-08-31
PRJ-CAP-005,Projects,"Revenue, billing, invoices and profitability",F217;F218;F219;F220;F221;F222,BILLING_SPECIALIST;PROJECT_CONTROLLER;FINANCE_CONTROLLER;PROJECT_MANAGER,Deterministic billing eligibility and idempotent invoice handoff with live reconciled project margin,SPECIFICATION_READY,SPECIFICATION_READY,PRJ-P6-BE-049;PRJ-P6-BE-051;PRJ-P6-BE-053;PRJ-P6-BE-055;PRJ-P6-BE-057;PRJ-P6-BE-059,,,Projects Pass 6 enterprise specification,2026-08-31
PRJ-CAP-006,Projects,"Issues, risks, documents and collaboration",F224;F225;F226;F227,PROJECT_MANAGER;TEAM_MEMBER;RISK_OWNER;CUSTOMER_COLLABORATOR,"Controlled execution collaboration, evidence and risk/issue governance with record-level visibility",SPECIFICATION_READY,SPECIFICATION_READY,PRJ-P6-BE-063;PRJ-P6-BE-065;PRJ-P6-BE-067;PRJ-P6-BE-069,,,Projects Pass 6 enterprise specification,2026-08-31
PRJ-CAP-007,Projects,Project intelligence and reporting,F229;F230,EXECUTIVE;PMO;PROJECT_MANAGER;PROJECT_CONTROLLER,"Permission-safe dashboards/reports that reconcile delivery, resources and financial truth to source records",SPECIFICATION_READY,SPECIFICATION_READY,PRJ-P6-BE-073;PRJ-P6-BE-075,,,Projects Pass 6 enterprise specification,2026-08-31
AST-CAP-001,Assets,"Asset master, identity and organization",F231;F232;F233;F234;F235;F236,Asset manager; controller; custodian; auditor,"Trusted asset identity, classification, location, custody and organizational accountability.",SPECIFICATION_READY,SPECIFICATION_READY,AST-P7-BE-001;AST-P7-BE-003;AST-P7-BE-005;AST-P7-BE-007;AST-P7-BE-009;AST-P7-BE-011,,,Assets Pass 7 enterprise specification,2026-08-31
AST-CAP-002,Assets,Acquisition and capitalization,F237;F238,Procurement; asset accountant; controller,Capital purchases become controlled asset records once and reconcile to procurement/accounting source facts.,SPECIFICATION_READY,SPECIFICATION_READY,AST-P7-BE-013;AST-P7-BE-015,,,Assets Pass 7 enterprise specification,2026-08-31
AST-CAP-003,Assets,Asset value and depreciation,F242;F243;F244;F245;F246;F247;F248;F249;F250;F251,Asset accountant; controller; auditor,"Deterministic carrying value, depreciation, revaluation and impairment with period/accounting reconciliation.",SPECIFICATION_READY,SPECIFICATION_READY,AST-P7-BE-023;AST-P7-BE-025;AST-P7-BE-027;AST-P7-BE-029;AST-P7-BE-031;AST-P7-BE-033;AST-P7-BE-035;AST-P7-BE-037;AST-P7-BE-039;AST-P7-BE-041,,,Assets Pass 7 enterprise specification,2026-08-31
AST-CAP-004,Assets,"Assignment, transfer and movement history",F239;F240;F241,Asset manager; custodian; department manager; auditor,"Every custody/location/department movement is authorized, effective-dated and auditable.",SPECIFICATION_READY,SPECIFICATION_READY,AST-P7-BE-017;AST-P7-BE-019;AST-P7-BE-021,,,Assets Pass 7 enterprise specification,2026-08-31
AST-CAP-005,Assets,Maintenance and reliability,F252;F253;F254;F255;F256;F257,Maintenance manager; technician; asset manager,"Preventive/reactive maintenance, warranty, downtime and repair history preserve operational availability and cost evidence.",SPECIFICATION_READY,SPECIFICATION_READY,AST-P7-BE-043;AST-P7-BE-045;AST-P7-BE-047;AST-P7-BE-049;AST-P7-BE-051;AST-P7-BE-053,,,Assets Pass 7 enterprise specification,2026-08-31
AST-CAP-006,Assets,"Inspection, calibration and physical control",F258;F259;F260;F261,Inspector; calibration technician; asset manager; auditor,"Field identification, inspection/calibration evidence and physical verification reconcile physical assets to records.",SPECIFICATION_READY,SPECIFICATION_READY,AST-P7-BE-055;AST-P7-BE-057;AST-P7-BE-059;AST-P7-BE-061,,,Assets Pass 7 enterprise specification,2026-08-31
AST-CAP-007,Assets,Disposal and retirement,F262;F263;F264;F265;F266,Asset manager; asset accountant; approver; auditor,"Sale/scrap/disposal are approved, valued, reconciled and posted without duplicate or silent financial effects.",SPECIFICATION_READY,SPECIFICATION_READY,AST-P7-BE-063;AST-P7-BE-065;AST-P7-BE-067;AST-P7-BE-069;AST-P7-BE-071,,,Assets Pass 7 enterprise specification,2026-08-31
AST-CAP-008,Assets,Asset analytics and reporting,F267,Asset manager; controller; auditor; executive,"Permission-safe asset lifecycle, value, maintenance, compliance and exception reporting reconciles to source facts.",SPECIFICATION_READY,SPECIFICATION_READY,AST-P7-BE-073,,,Assets Pass 7 enterprise specification,2026-08-31
POS-CAP-001,Point of Sale,"Store, terminal and cashier control",F268;F269;F270;F271,Retail admin; store manager; cashier supervisor,,SPECIFICATION_READY,SPECIFICATION_READY,,,,,
POS-CAP-002,Point of Sale,"Assortment, pricing, customer and cart",F272;F273;F274;F275;F276;F277;F278;F279;F280;F281,Cashier; supervisor; merchandiser,,SPECIFICATION_READY,SPECIFICATION_READY,,,,,
POS-CAP-003,Point of Sale,Tender and payment execution,F282;F283;F284;F285;F286,Cashier; supervisor; finance operator,,SPECIFICATION_READY,SPECIFICATION_READY,,,,,
POS-CAP-004,Point of Sale,Transaction continuity and documents,F287;F288;F289;F290,Cashier; customer-service operator,,SPECIFICATION_READY,SPECIFICATION_READY,,,,,
POS-CAP-005,Point of Sale,"Returns, refunds and exchanges",F291;F292;F293,Cashier; supervisor; customer-service operator,,SPECIFICATION_READY,SPECIFICATION_READY,,,,,
POS-CAP-006,Point of Sale,Inventory and offline continuity,F294;F295;F296;F297;F298,Cashier; inventory operator; store manager,,SPECIFICATION_READY,SPECIFICATION_READY,,,,,
POS-CAP-007,Point of Sale,"Cash, shift, day-end and reconciliation",F299;F300;F301;F302;F303;F304;F305,Cashier; supervisor; finance operator; auditor,,SPECIFICATION_READY,SPECIFICATION_READY,,,,,
POS-CAP-008,Point of Sale,Loyalty,F306,Cashier; customer; marketing operator,,SPECIFICATION_READY,SPECIFICATION_READY,,,,,
POS-CAP-009,Point of Sale,POS analytics,F307,Store manager; finance; executive,,SPECIFICATION_READY,SPECIFICATION_READY,,,,,
